n,count_commentators,count_lines,text
1045,2,2,"<dl><dt><span class=""line"" id=""tln_1045-speech"">Mar.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1045"">My businesse cannot brooke this dalliance, </span><span class=""line"" id=""tln_1046"">Good sir say, whe&rsquo;r you&rsquo;l answer me, or no: </span><span class=""line"" id=""tln_1047"">If not, Ile leaue him to the Officer.</span></p></dd></dl>"
1048,0,0,"<dl><dt><span class=""line"" id=""tln_1048-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1048"">I answer you? What should I answer you.</span></p></dd></dl>"
1049,4,0,"<dl><dt><span class=""line"" id=""tln_1049-speech"">Gold.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1049"">The monie that you owe me for the Chaine.</span></p></dd></dl>"
1050,2,0,"<dl><dt><span class=""line"" id=""tln_1050-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1050"">I owe you none, till I receiue the Chaine.</span></p></dd></dl>"
1051,3,0,"<dl><dt><span class=""line"" id=""tln_1051-speech"">Gold.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1051"">You know I gaue it you halfe an houre since.</span></p></dd></dl>"
1052,0,1,"<dl><dt><span class=""line"" id=""tln_1052-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1052"">You gaue me none, you wrong mee much to </span><span class=""line"" id=""tln_1053"">say so.</span></p></dd></dl>"
1054,1,1,"<dl><dt><span class=""line"" id=""tln_1054-speech"">Gold.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1054"">You wrong me more sir in denying it. </span><span class=""line"" id=""tln_1055"">Consider how it stands vpon my credit.</span></p></dd></dl>"
1056,1,0,"<dl><dt><span class=""line"" id=""tln_1056-speech"">Mar.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1056"">Well Officer, arrest him at my suite.</span></p></dd></dl>"
1057,1,1,"<dl><dt><span class=""line"" id=""tln_1057-speech"">Offi.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1057"">I do, and charge you in the Dukes name to o-&shy; </span><span class=""line"" id=""tln_1058"">bey me.</span></p></dd></dl>"
1059,4,2,"<dl><dt><span class=""line"" id=""tln_1059-speech"">Gold.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1059"">This touches me in reputation. </span><span class=""line"" id=""tln_1060"">Either consent to pay this sum for me, </span><span class=""line"" id=""tln_1061"">Or I attach you by this Officer.</span></p></dd></dl>"
1062,0,1,"<dl><dt><span class=""line"" id=""tln_1062-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1062"">Consent to pay thee that I neuer had: </span><span class=""line"" id=""tln_1063"">Arrest me foolish fellow if thou dar&rsquo;st.</span></p></dd></dl>"
1064,0,2,"<dl><dt><span class=""line"" id=""tln_1064-speech"">Gold.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1064"">Heere is thy fee, arrest him Officer. </span><span class=""line"" id=""tln_1065"">I would not spare my brother in this case, </span><span class=""line"" id=""tln_1066"">If he should scorne me so apparantly.</span></p></dd></dl>"
1067,7,0,"<dl><dt><span class=""line"" id=""tln_1067-speech"">Offic.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1067"">I do arrest you sir, you heare the suite.</span></p></dd></dl>"
1068,1,2,"<dl><dt><span class=""line"" id=""tln_1068-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1068"">I do obey thee, till I giue thee baile. </span><span class=""line"" id=""tln_1069"">But sirrah, you shall buy this sport as deere, </span><span class=""line"" id=""tln_1070"">As all the mettall in your shop will answer.</span></p></dd></dl>"
1071,0,1,"<dl><dt><span class=""line"" id=""tln_1071-speech"">Gold.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1071"">Sir, sir, I shall haue Law in Ephesus, </span><span class=""line"" id=""tln_1072"">To your notorious shame, I doubt it not.</span></p></dd></dl>"
1074,11,7,"<dl><dt><span class=""line"" id=""tln_1074-speech"">Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1074"">Master, there&rsquo;s a Barke of Epidamium, </span><span class=""line"" id=""tln_1075"">That staies but till her Owner comes aboord, </span><span class=""line"" id=""tln_1076"">And then sir she beares away. Our fraughtage sir, </span><span class=""line"" id=""tln_1077"">I haue conuei&rsquo;d aboord, and I haue bought </span><span class=""line"" id=""tln_1078"">The Oyle, the Balsamum, and Aqua-vit&aelig;. </span><span class=""line"" id=""tln_1079"">The ship is in her trim, the merrie winde </span><span class=""line"" id=""tln_1080"">Blowes faire from land: they stay for nought at all, </span><span class=""line"" id=""tln_1081"">But for their Owner, Master, and your selfe.</span></p></dd></dl>"
1082,5,1,"<dl><dt><span class=""line"" id=""tln_1082-speech"">An.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1082"">How now? a Madman? Why thou peeuish sheep </span><span class=""line"" id=""tln_1083"">What ship of Epidamium staies for me.</span></p></dd></dl>"
1084,2,0,"<dl><dt><span class=""line"" id=""tln_1084-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1084"">A ship you sent me too, to hier waftage.</span></p></dd></dl>"
1085,2,1,"<dl><dt><span class=""line"" id=""tln_1085-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1085"">Thou drunken slaue, I sent thee for a rope, </span><span class=""line"" id=""tln_1086"">And told thee to what purpose, and what end.</span></p></dd></dl>"
1087,2,1,"<dl><dt><span class=""line"" id=""tln_1087-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1087"">You sent me for a ropes end as soone, </span><span class=""line"" id=""tln_1088"">You sent me to the Bay sir, for a Barke.</span></p></dd></dl>"
1089,8,8,"<dl><dt><span class=""line"" id=""tln_1089-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1089"">I will debate this matter at more leisure </span><span class=""line"" id=""tln_1090"">And teach your eares to list me with more heede: </span><span class=""line"" id=""tln_1091"">To Adriana Villaine hie thee straight: </span><span class=""line"" id=""tln_1092"">Giue her this key, and tell her in the Deske </span><span class=""line"" id=""tln_1093"">That&rsquo;s couer&rsquo;d o&rsquo;re with Turkish Tapistrie, </span><span class=""line"" id=""tln_1094"">There is a purse of Duckets, let her send it: </span><span class=""line"" id=""tln_1095"">Tell her, I am arrested in the streete, </span><span class=""line"" id=""tln_1096"">And that shall baile me: hie thee slaue, be gone, </span><span class=""line"" id=""tln_1097"">On Officer to prison, till it come.</span></p></dd></dl>"
1098,25,4,"<dl><dt><span class=""line"" id=""tln_1098-speech"">S. Dromio.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1098"">To Adriana, that is where we din&rsquo;d, </span><span class=""line"" id=""tln_1099"">Where Dowsabell did claime me for her husband, </span><span class=""line"" id=""tln_1100"">She is too bigge I hope for me to compasse, </span><span class=""line"" id=""tln_1101"">Thither I must, although against my will: </span><span class=""line"" id=""tln_1102"">For seruants must their Masters mindes fulfill.</span></p></dd></dl>"
1104,9,5,"<dl><dt><span class=""line"" id=""tln_1104-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1104"">Ah Luciana, did he tempt thee so? </span><span class=""line"" id=""tln_1105"">Might&rsquo;st thou perceiue austeerely in his eie, </span><span class=""line"" id=""tln_1106"">That he did plead in earnest, yea or no: </span><span class=""line"" id=""tln_1107"">Look&rsquo;d he or red or pale, or sad or merrily? </span><span class=""line"" id=""tln_1108"">What obseruation mad&rsquo;st thou in this case? </span><span class=""line"" id=""tln_1109"">Oh, his hearts Meteors tilting in his face.</span></p></dd></dl>"
1110,2,0,"<dl><dt><span class=""line"" id=""tln_1110-speech"">Luc.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1110"">First he deni&rsquo;de you had in him no right.</span></p></dd></dl>"
1111,2,0,"<dl><dt><span class=""line"" id=""tln_1111-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1111"">He meant he did me none: the more my spight.</span></p></dd></dl>"
1112,1,0,"<dl><dt><span class=""line"" id=""tln_1112-speech"">Luc.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1112"">Then swore he that he was a stranger heere.</span></p></dd></dl>"
1113,1,1,"<dl><dt><span class=""line"" id=""tln_1113-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1113"">And true he swore, though yet forsworne hee </span><span class=""line"" id=""tln_1114"">were.</span></p></dd></dl>"
1115,0,0,"<dl><dt><span class=""line"" id=""tln_1115-speech"">Luc.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1115"">Then pleaded I for you.</span></p></dd></dl>"
1116,0,0,"<dl><dt><span class=""line"" id=""tln_1116-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1116"">And what said he?</span></p></dd></dl>"
1117,0,0,"<dl><dt><span class=""line"" id=""tln_1117-speech"">Luc.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1117"">That loue I begg&rsquo;d for you, he begg&rsquo;d of me.</span></p></dd></dl>"
1118,0,0,"<dl><dt><span class=""line"" id=""tln_1118-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1118"">With what perswasion did he tempt thy loue?</span></p></dd></dl>"
1119,1,1,"<dl><dt><span class=""line"" id=""tln_1119-speech"">Luc.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1119"">With words, that in an honest suit might moue. </span><span class=""line"" id=""tln_1120"">First, he did praise my beautie, then my speech.</span></p></dd></dl>"
1121,3,0,"<dl><dt><span class=""line"" id=""tln_1121-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1121"">Did&rsquo;st speake him faire?</span></p></dd></dl>"
1122,3,0,"<dl><dt><span class=""line"" id=""tln_1122-speech"">Luc.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1122"">Haue patience I beseech.</span></p></dd></dl>"
1123,4,5,"<dl><dt><span class=""line"" id=""tln_1123-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1123"">I cannot, nor I will not hold me still, </span><span class=""line"" id=""tln_1124"">My tongue, though not my heart, shall haue his will. </span><span class=""line"" id=""tln_1125"">He is deformed, crooked, old, and sere, </span><span class=""line"" id=""tln_1126"">Ill-fac&rsquo;d, worse bodied, shapelesse euery where: </span><span class=""line"" id=""tln_1127"">Vicious, vngentle, foolish, blunt, vnkinde, </span><span class=""line"" id=""tln_1128"">Stigmaticall in making worse in minde.</span></p></dd></dl>"
1129,2,1,"<dl><dt><span class=""line"" id=""tln_1129-speech"">Luc.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1129"">Who would be iealous then of such a one? </span><span class=""line"" id=""tln_1130"">No euill lost is wail&rsquo;d, when it is gone.</span></p></dd></dl>"
1131,7,3,"<dl><dt><span class=""line"" id=""tln_1131-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1131"">Ah but I thinke him better then I say: </span><span class=""line"" id=""tln_1132"">And yet would herein others eies were worse: </span><span class=""line"" id=""tln_1133"">Farre from her nest the Lapwing cries away; </span><span class=""line"" id=""tln_1134"">My heart praies for him, though my tongue doe curse.</span></p></dd></dl>"
1136,6,1,"<dl><dt><span class=""line"" id=""tln_1136-speech"">Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1136"">Here goe: the deske, the purse, sweet now make </span><span class=""line"" id=""tln_1137"">haste.</span></p></dd></dl>"
1138,4,0,"<dl><dt><span class=""line"" id=""tln_1138-speech"">Luc.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1138"">How hast thou lost thy breath?</span></p></dd></dl>"
1139,0,0,"<dl><dt><span class=""line"" id=""tln_1139-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1139"">By running fast.</span></p></dd></dl>"
1140,0,0,"<dl><dt><span class=""line"" id=""tln_1140-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1140"">Where is thy Master Dromio? Is he well?</span></p></dd></dl>"
1141,30,8,"<dl><dt><span class=""line"" id=""tln_1141-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1141"">No, he&rsquo;s in Tartar limbo, worse then hell: </span><span class=""line"" id=""tln_1142"">A diuell in an euerlasting garment hath him; </span><span class=""line"" id=""tln_1143"">On whose hard heart is button&rsquo;d vp with steele: </span><span class=""line"" id=""tln_1144"">A Feind, a Fairie, pittilesse and ruffe: </span><span class=""line"" id=""tln_1145"">A Wolfe, nay worse, a fellow all in buffe: </span><span class=""line"" id=""tln_1146"">A back friend, a shoulder-clapper, one that counterm&atilde;ds </span><span class=""line"" id=""tln_1147"">The passages of allies, creekes, and narrow lands: </span><span class=""line"" id=""tln_1148"">A hound that runs Counter, and yet draws drifoot well, </span><span class=""line"" id=""tln_1149"">One that before the Iudgm&#7869;t carries poore soules to hel.</span></p></dd></dl>"
1150,1,0,"<dl><dt><span class=""line"" id=""tln_1150-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1150"">Why man, what is the matter?</span></p></dd></dl>"
1151,4,1,"<dl><dt><span class=""line"" id=""tln_1151-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1151"">I doe not know the matter, hee is rested on </span><span class=""line"" id=""tln_1152"">the case.</span></p></dd></dl>"
1153,1,0,"<dl><dt><span class=""line"" id=""tln_1153-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1153"">What is he arrested? tell me at whose suite?</span></p></dd></dl>"
1154,18,3,"<dl><dt><span class=""line"" id=""tln_1154-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1154"">I know not at whose suite he is arested well; </span><span class=""line"" id=""tln_1155"">but is in a suite of buffe which rested him, that can I tell, </span><span class=""line"" id=""tln_1156"">will you send him Mistris redemption, the monie in </span><span class=""line"" id=""tln_1157"">his deske.</span></p></dd></dl>"
1158,5,3,"<dl><dt><span class=""line"" id=""tln_1158-speech"">Adr.</span></dt><dd><p class=""speech""> <span class=""line"" id=""tln_1158"">Go fetch it Sister: this I wonder at. </span><span class=""line"" id=""tln_1159""><p><span class=""stage"">Exit Luciana.</span></p></span><span class=""line"" id=""tln_1160"">Thus he vnknowne to me should be in debt: </span><span class=""line"" id=""tln_1161"">Tell me, was he arested on a band?</span></p></dd></dl>"
1162,5,1,"<dl><dt><span class=""line"" id=""tln_1162-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1162"">Not on a band, but on a stronger thing: </span><span class=""line"" id=""tln_1163"">A chaine, a chaine, doe you not here it ring.</span></p></dd></dl>"
1164,2,0,"<dl><dt><span class=""line"" id=""tln_1164-speech"">Adria.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1164"">What, the chaine?</span></p></dd></dl>"
1165,0,1,"<dl><dt><span class=""line"" id=""tln_1165-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1165"">No, no, the bell, &rsquo;tis time that I were gone: </span><span class=""line"" id=""tln_1166"">It was two ere I left him, and now the clocke strikes one.</span></p></dd></dl>"
1167,1,0,"<dl><dt><span class=""line"" id=""tln_1167-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1167"">The houres come backe, that did I neuer here.</span></p></dd></dl>"
1168,3,1,"<dl><dt><span class=""line"" id=""tln_1168-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1168"">Oh yes, if any houre meete a Serieant, a turnes </span><span class=""line"" id=""tln_1169"">backe for verie feare.</span></p></dd></dl>"
1170,1,1,"<dl><dt><span class=""line"" id=""tln_1170-speech"">Adri.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1170"">As if time were in debt: how fondly do&rsquo;st thou </span><span class=""line"" id=""tln_1171"">reason?</span></p></dd></dl>"
1172,12,5,"<dl><dt><span class=""line"" id=""tln_1172-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1172"">Time is a verie bankerout, and owes more then </span><span class=""line"" id=""tln_1173"">he&rsquo;s worth to season. </span><span class=""line"" id=""tln_1174"">Nay, he&rsquo;s a theefe too: haue you not heard men say, </span><span class=""line"" id=""tln_1175"">That time comes stealing on by night and day? </span><span class=""line"" id=""tln_1176"">If I be in debt and theft, and a Serieant in the way, </span><span class=""line"" id=""tln_1177"">Hath he not reason to turne backe an houre in a day?</span></p></dd></dl>"
1179,6,3,"<dl><dt><span class=""line"" id=""tln_1179-speech"">Adr.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1179"">Go Dromio, there&rsquo;s the monie, beare it straight, </span><span class=""line"" id=""tln_1180"">And bring thy Master home imediately. </span><span class=""line"" id=""tln_1181"">Come sister, I am prest downe with conceit: </span><span class=""line"" id=""tln_1182"">Conceit, my comfort and my iniurie.</span></p></dd></dl>"
1184,11,10,"<dl><dt><span class=""line"" id=""tln_1184-speech""></span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1184"">There&rsquo;s not a man I meete but doth salute me </span><span class=""line"" id=""tln_1185"">As if I were their well acquainted friend, </span><span class=""line"" id=""tln_1186"">And euerie one doth call me by my name: </span><span class=""line"" id=""tln_1187"">Some tender monie to me, some inuite me; </span><span class=""line"" id=""tln_1188"">Some other giue me thankes for kindnesses; </span><span class=""line"" id=""tln_1189"">Some offer me Commodities to buy. </span><span class=""line"" id=""tln_1190"">Euen now a tailor cal&rsquo;d me in his shop, </span><span class=""line"" id=""tln_1191"">And show&rsquo;d me Silkes that he had bought for me, </span><span class=""line"" id=""tln_1192"">And therewithall tooke measure of my body. </span><span class=""line"" id=""tln_1193"">Sure these are but imaginarie wiles, </span><span class=""line"" id=""tln_1194"">And lapland Sorcerers inhabite here.</span></p></dd></dl>"
1196,13,1,"<dl><dt><span class=""line"" id=""tln_1196-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1196"">Master, here&rsquo;s the gold you sent me for: what </span><span class=""line"" id=""tln_1197"">haue you got the picture of old Adam new apparel&rsquo;d?</span></p></dd></dl>"
1198,4,1,"<dl><dt><span class=""line"" id=""tln_1198-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1198"">What gold is this? What Adam do&rsquo;st thou </span><span class=""line"" id=""tln_1199"">meane?</span></p></dd></dl>"
1200,17,4,"<dl><dt><span class=""line"" id=""tln_1200-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1200"">Not that Adam that kept the Paradise: but </span><span class=""line"" id=""tln_1201"">that Adam that keepes the prison; hee that goes in the </span><span class=""line"" id=""tln_1202"">calues-skin, that was kil&rsquo;d for the Prodigall: hee that </span><span class=""line"" id=""tln_1203"">came behinde you sir, like an euill angel, and bid you for-&shy; </span><span class=""line"" id=""tln_1204"">sake your libertie.</span></p></dd></dl>"
1205,0,0,"<dl><dt><span class=""line"" id=""tln_1205-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1205"">I vnderstand thee not.</span></p></dd></dl>"
1206,13,5,"<dl><dt><span class=""line"" id=""tln_1206-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1206"">No? why &rsquo;tis a plaine case: he that went like </span><span class=""line"" id=""tln_1207"">a Base-Viole in a case of leather; the man sir, that when </span><span class=""line"" id=""tln_1208"">gentlemen are tired giues them a sob, and rests them: </span><span class=""line"" id=""tln_1209"">he sir, that takes pittie on decaied men, and giues them </span><span class=""line"" id=""tln_1210"">suites of durance: he that sets vp his rest to doe more ex-&shy; </span><span class=""line"" id=""tln_1211"">ploits with his Mace, then a Moris Pike.</span></p></dd></dl>"
1212,0,0,"<dl><dt><span class=""line"" id=""tln_1212-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1212"">What thou mean&rsquo;st an officer?</span></p></dd></dl>"
1213,9,3,"<dl><dt><span class=""line"" id=""tln_1213-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1213"">I sir, the Serieant of the Band: he that brings </span><span class=""line"" id=""tln_1214"">any man to answer it that breakes his Band: one that </span><span class=""line"" id=""tln_1215"">thinkes a man alwaies going to bed, and saies, God giue </span><span class=""line"" id=""tln_1216"">you good rest.</span></p></dd></dl>"
1217,1,1,"<dl><dt><span class=""line"" id=""tln_1217-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1217"">Well sir, there rest in your foolerie: </span><span class=""line"" id=""tln_1218"">Is there any ships puts forth to night? may we be gone?</span></p></dd></dl>"
1219,9,4,"<dl><dt><span class=""line"" id=""tln_1219-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1219"">Why sir, I brought you word an houre since, </span><span class=""line"" id=""tln_1220"">that the Barke Expedition put forth to night, and then </span><span class=""line"" id=""tln_1221"">were you hindred by the Serieant to tarry for the Hoy </span><span class=""line"" id=""tln_1222"">Delay: Here are the angels that you sent for to deliuer </span><span class=""line"" id=""tln_1223"">you.</span></p></dd></dl>"
1224,12,2,"<dl><dt><span class=""line"" id=""tln_1224-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1224"">The fellow is distract, and so am I, </span><span class=""line"" id=""tln_1225"">And here we wander in illusions: </span><span class=""line"" id=""tln_1226"">Some blessed power deliuer vs from hence.</span></p></dd></dl>"
1228,3,2,"<dl><dt><span class=""line"" id=""tln_1228-speech"">Cur.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1228"">Well met, well met, Master Antipholus: </span><span class=""line"" id=""tln_1229"">I see sir you haue found the Gold-smith now: </span><span class=""line"" id=""tln_1230"">Is that the chaine you promis&rsquo;d me to day.</span></p></dd></dl>"
1231,4,0,"<dl><dt><span class=""line"" id=""tln_1231-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1231"">Sathan auoide, I charge thee tempt me not.</span></p></dd></dl>"
1232,9,0,"<dl><dt><span class=""line"" id=""tln_1232-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1232"">Master, is this Mistris Sathan?</span></p></dd></dl>"
1233,0,0,"<dl><dt><span class=""line"" id=""tln_1233-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1233"">It is the diuell.</span></p></dd></dl>"
1234,15,6,"<dl><dt><span class=""line"" id=""tln_1234-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""foreign"">ergo</span>, light wenches will <span class=""line"" id=""tln_1234"">Nay, she is worse, she is the diuels dam: </span><span class=""line"" id=""tln_1235"">And here she comes in the habit of a light wench, and </span><span class=""line"" id=""tln_1236"">thereof comes, that the wenches say God dam me, That&rsquo;s </span><span class=""line"" id=""tln_1237"">as much to say, God make me a light wench: It is writ-&shy; </span><span class=""line"" id=""tln_1238"">ten, they appeare to men like angels of light, light is an </span><span class=""line"" id=""tln_1239"">effect of fire, and fire will burne: </span><span class=""line"" id=""tln_1240"">burne, come not neere her.</span></p></dd></dl>"
1241,2,1,"<dl><dt><span class=""line"" id=""tln_1241-speech"">Cur.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1241"">Your man and you are maruailous merrie sir. </span><span class=""line"" id=""tln_1242"">Will you goe with me, wee&rsquo;ll mend our dinner here?</span></p></dd></dl>"
1243,8,1,"<dl><dt><span class=""line"" id=""tln_1243-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1243"">Master, if do expect spoon-meate, or bespeake </span><span class=""line"" id=""tln_1244"">a long spoone.</span></p></dd></dl>"
1245,0,0,"<dl><dt><span class=""line"" id=""tln_1245-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1245"">Why Dromio?</span></p></dd></dl>"
1246,1,1,"<dl><dt><span class=""line"" id=""tln_1246-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1246"">Marrie he must haue a long spoone that must </span><span class=""line"" id=""tln_1247"">eate with the diuell.</span></p></dd></dl>"
1248,7,2,"<dl><dt><span class=""line"" id=""tln_1248-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1248"">Auoid then fiend, what tel&rsquo;st thou me of supping? </span><span class=""line"" id=""tln_1249"">Thou art, as you are all a sorceresse: </span><span class=""line"" id=""tln_1250"">I coniure thee to leaue me, and be gon.</span></p></dd></dl>"
1251,5,2,"<dl><dt><span class=""line"" id=""tln_1251-speech"">Cur.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1251"">Giue me the ring of mine you had at dinner, </span><span class=""line"" id=""tln_1252"">Or for my Diamond the Chaine you promis&rsquo;d, </span><span class=""line"" id=""tln_1253"">And Ile be gone sir, and not trouble you.</span></p></dd></dl>"
1254,9,4,"<dl><dt><span class=""line"" id=""tln_1254-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1254"">Some diuels aske but the parings of ones naile, </span><span class=""line"" id=""tln_1255"">a rush, a haire, a drop of blood, a pin, a nut, a cherrie- </span><span class=""line"" id=""tln_1256"">stone: but she more couetous, wold haue a chaine: Ma-&shy; </span><span class=""line"" id=""tln_1257"">ster be wise, and if you giue it her, the diuell will shake </span><span class=""line"" id=""tln_1258"">her Chaine, and fright vs with it.</span></p></dd></dl>"
1259,2,1,"<dl><dt><span class=""line"" id=""tln_1259-speech"">Cur.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1259"">I pray you sir my Ring, or else the Chaine, </span><span class=""line"" id=""tln_1260"">I hope you do not meane to cheate me so?</span></p></dd></dl>"
1261,1,0,"<dl><dt><span class=""line"" id=""tln_1261-speech"">Ant.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1261"">Auant thou witch: Come Dromio let vs go.</span></p></dd></dl>"
1262,7,1,"<dl><dt><span class=""line"" id=""tln_1262-speech"">S. Dro.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1262"">Flie pride saies the Pea-cocke, Mistris that </span><span class=""line"" id=""tln_1263"">you know.</span></p></dd></dl>"
1264,11,15,"<dl><dt><span class=""line"" id=""tln_1264-speech"">Cur.</span></dt><dd><p class=""speech""><span class=""line"" id=""tln_1264"">Now out of doubt Antipholus is mad, </span><span class=""line"" id=""tln_1265"">Else would he neuer so demeane himselfe, </span><span class=""line"" id=""tln_1266"">A Ring he hath of mine worth fortie Duckets, </span><span class=""line"" id=""tln_1267"">And for the same he promis&rsquo;d me a Chaine, </span><span class=""line"" id=""tln_1268"">Both one and other he denies me now: </span><span class=""line"" id=""tln_1269"">The reason that I gather he is mad, </span><span class=""line"" id=""tln_1270"">Besides this present instance of his rage, </span><span class=""line"" id=""tln_1271"">Is a mad tale he told to day at dinner, </span><span class=""line"" id=""tln_1272"">Of his owne doores being shut against his entrance. </span><span class=""line"" id=""tln_1273"">Belike his wife acquainted with his fits, </span><span class=""line"" id=""tln_1274"">On purpose shut the doores against his way: </span><span class=""line"" id=""tln_1275"">My way is now to hie home to his house, </span><span class=""line"" id=""tln_1276"">And tell his wife, that being Lunaticke, </span><span class=""line"" id=""tln_1277"">He rush&rsquo;d into my house, and tooke perforce </span><span class=""line"" id=""tln_1278"">My Ring away. This course I fittest choose, </span><span class=""line"" id=""tln_1279"">For fortie Duckets is too much to loose.</span></p></dd></dl>"
